2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
22903.517,26033.717,28607.8235,33917.4625,31137.7205,33641.8345,33026.320999999996,25550.931500000002,30647.766499999998,37575.085,46670.3685,32332.1665,47242.0765,42543.914,43201.53,32701.971,45470.076499999996,46642.9905,59326.402500000004,47894.658,38406.731,52549.4335,50090.294499999996,61700.672,55879.2105,63497.9205,69263.2965,54113.878,68278.707,67170.4725,73898.974,78103.448,69425.608,64879.9245,61876.0335,70235.408
60052.741500000004,42804.275,19089.863,53362.56,69123.954,59250.314999999995,104647.769,97886.3915,65168.276,80509.959,73954.79699999999,95887.846,63257.4635,38641.517,68127.3325,38859.762,93841.292,92102.2245,86177.6385,52624.695,65380.6815,105173.63249999999,94387.572,134414.713,96182.4595,60553.1835,73689.798,66220.9215,138766.93349999998,76727.55649999999,115880.505,99097.989,100528.6995,106609.177,189649.2365,134670.8025
128047.825,27176.9025,92247.1705,20361.3905,96241.5155,27125.7965,125992.53850000001,24536.7105,59267.813,90188.8025,33143.148,71948.397,40369.5885,86409.412,98466.2,58216.3105,209687.119,80389.82699999999,80088.4035,76069.664,209169.847,43274.021,166544.1245,84949.3225,125154.685,107370.701,188906.7965,159952.995,130046.03050000001,194808.539,138087.808,240783.6905,150734.2825,98254.7505,161558.8635,98283.604
25886.291,18994.0535,29287.712,32302.2195,37951.2845,24574.6465,29341.778,35440.2185,39330.957500000004,31964.5145,39164.88,38770.299,36127.0515,34582.080500000004,37021.927,41078.6695,29578.233,50655.1385,49481.828,36255.4305,44563.9505,38467.6845,53460.5225,58966.55,64886.548,60634.8635,49762.085,55905.6455,59109.6685,56464.5955,67215.6125,68103.89,68679.163,67651.615,79024.5085,78951.1095
26523.481,20884.8125,25163.399,15874.486499999999,16810.64,27154.863,28391.9485,29298.3695,29119.305,32714.917,36731.018000000004,34152.172,25239.5855,35880.045,26231.444,28731.832,38153.231,38577.2155,46196.1255,35332.3795,42091.8865,44421.888,37018.7955,45582.9925,58857.0365,46336.943,42845.8525,42034.8595,65573.4105,49400.0345,66349.58,69837.304,44930.3195,63555.1675,55074.073,54924.561
30416.6585,29054.9625,32188.0255,20758.439,35328.9315,35887.63,29409.663,38390.089,26833.077,32098.775,38005.391,37159.764,42485.2555,30622.852,31999.036,35581.758499999996,39073.8345,45044.0915,47520.4145,36768.2125,53517.5745,49047.9385,47490.118,57148.9645,60615.388,67055.2605,56146.709,63350.922,62698.9055,61228.2555,79537.675,78953.882,54021.252,68084.2935,70572.0795,61859.899
